我	wo
戴爾	dai er
東風	dong feng
雖說	sui shuo
顆粒	ke li
溫家寶	wen jia bao
不在乎	bu zai hu
粘	zhan
天津市	tian jin shi
電影院	dian ying yuan
付費	fu fei
全國各地	quan guo ge di
全方位	quan fang wei
厚道	hou dao
過敏	guo min
模具	mo ju
鴻	hong
吽	hong
小靈通	xiao ling tong
攜	xie
主編	zhu bian
奪冠	duo guan
調度	diao du
研討會	yan tao hui
太慢	tai man
好萊塢	hao lai wu
筆試	bi shi
到貨	dao huo
開創	kai chuang
出具	chu ju
農戶	nong hu
郵政	you zheng
車隊	che dui
徵集	zheng ji
疲憊	pi bei
出行	chu xing
支行	zhi xing
版塊	ban kuai
單價	dan jia
一再	yi zai
美的	mei de
去除	qu chu
作弊	zuo bi
交警	jiao jing
外包	wai bao
導向	dao xiang
麻痹	ma bi
張相	zhang xiang
分析師	fen xi shi
櫃檯	gui tai
維權	wei quan
堵	du
組長	zu zhang
臺階	tai jie
以至於	yi zhi yu
倡導	chang dao
產能	chan neng
上調	shang diao
估值	gu zhi
行使	xing shi
序列號	xu lie hao
後市	hou shi
奠定	dian ding
宏觀調控	hong guan diao kong
致使	zhi shi
重慶市	zhong qing shi
許可證	xu ke zheng
繳費	jiao fei
對話框	dui hua kuang
姜	jiang
慢性	man xing
南海	nan hai
拉動	la dong
宏觀	hong guan
貸	dai
排放	pai fang
胳膊	ge bo
飾品	shi pin
紮實	za shi
視角	shi jiao
常州	chang zhou
聽力	ting li
不是	bu shi
豈不是	qi bu shi
一體化	yi ti hua
區間	qu jian
變換	bian huan
中美	zhong mei
商務部	shang wu bu
查收	cha shou
瞧	qiao
鍬	qiao
內核	nei he
艱苦	jian ku
開幕式	kai mu shi
飛翔	fei xiang
均可	jun ke
水利	shui li
吉他	ji ta
批量	pi liang
餘額	yu e
不鏽鋼	bu xiu gang
專賣店	zhuan mai dian
新高	xin gao
牠們	ta men
海口	hai kou
初始化	chu shi hua
經濟學家	jing ji xue jia
北美	bei mei
潔	jie
憋	bie
第六	di liu
市場化	shi chang hua
天然氣	tian ran qi
培訓班	pei xun ban
抄襲	chao xi
郵編	you bian
項鍊	xiang lian
虛僞	xu wei
左側	zuo ce
初始	chu shi
打着	da zhe
跳水	tiao shui
首發	shou fa
臺上	tai shang
原材料	yuan cai liao
殘疾人	can ji ren
敘述	xu shu
檢	jian
老太太	lao tai tai
關掉	guan diao
陣容	zhen rong
新股	xin gu
血液循環	xue ye xun huan
高壓	gao ya
著作	zhu zuo
朝陽	chao yang
計劃生育	ji hua sheng yu
只在	zhi zai
照相	zhao xiang
人民法院	ren min fa yuan
看中	kan zhong
寧夏	ning xia
長髮	zhang fa
業餘	ye yu
不忙	bu mang
方正	fang zheng
進出口	jin chu kou
表揚	biao yang
中場	zhong chang
錄製	lu zhi
銜	xian
知識分子	zhi shi fen zi
空軍	kong jun
四級	si ji
鈣	gai
物料	wu liao
星期天	xing qi tian
乘坐	cheng zuo
啓示	qi shi
寵	chong
改版	gai ban
敢於	gan yu
傅	fu
大城市	da cheng shi
擊敗	ji bai
出資	chu zi
國際市場	guo ji shi chang
經營者	jing ying zhe
資本主義	zi ben zhu yi
使用者	shi yong zhe
太低	tai di
增幅	zeng fu
寬度	kuan du
河北省	he bei sheng
清華大學	qing hua da xue
創辦	chuang ban
氣象	qi xiang
日軍	ri jun
省政府	sheng zheng fu
社保	she bao
隱患	yin huan
高等教育	gao deng jiao yu
外殼	wai ke
殿	dian
胎兒	tai er
鉅額	ju e
三維	san wei
遷移	qian yi
預報	yu bao
實業	shi ye
郵費	you fei
摩托羅拉	mo tuo luo la
壁紙	bi zhi
流失	liu shi
煙臺	yan tai
發病	fa bing
組成部分	zu cheng bu fen
序列	xu lie
比分	bi fen
瓶頸	ping jing
訪	fang
太陽能	tai yang neng
強悍	qiang han
旭	xu
看下	kan xia
小樣	xiao yang
產業鏈	chan ye lian
雙擊	shuang ji
高原	gao yuan
蒐	sou
機動車	ji dong che
萊	lai
電子書	dian zi shu
售後服務	shou hou fu wu
紅軍	hong jun
撰寫	zhuan xie
低端	di duan
切爾西	qie er xi
北京大學	bei jing da xue
決議	jue yi
療法	liao fa
摘要	zhai yao
淨利潤	jing li run
鏡像	jing xiang
扣除	kou chu
國家級	guo jia ji
環境保護	huan jing bao hu
不曾	bu ceng
穩健	wen jian
船舶	chuan bo
官兵	guan bing
邁	mai
修建	xiu jian
動畫片	dong hua pian
子公司	zi gong si
任命	ren ming
骨幹	gu gan
必備	bi bei
控制器	kong zhi qi
美白	mei bai
房貸	fang dai
電纜	dian lan
電氣	dian qi
傳感器	chuan gan qi
混凝土	hun ning tu
省市	sheng shi
瑞典	rui dian
立馬	li ma
氣死	qi si
厚度	hou du
大米	da mi
成品	cheng pin
看重	kan zhong
昇高	sheng gao
提成	ti cheng
招人	zhao ren
製造商	zhi zao shang
松下	song xia
聽起來	ting qi lai
託管	tuo guan
註銷	zhu xiao
國美	guo mei
大專	da zhuan
評分	ping fen
納米	na mi
增速	zeng su
服務業	fu wu ye
中方	zhong fang
掛牌	gua pai
來源於	lai yuan yu
分頁	fen ye
屆時	jie shi
原油	yuan you
市場份額	shi chang fen e
性生活	xing sheng huo
福建省	fu jian sheng
證監會	zheng jian hui
徐州	xu zhou
黃山	huang shan
拽	zhuai
網點	wang dian
薇	wei
賣場	mai chang
二手房	er shou fang
產業化	chan ye hua
註釋	zhu shi
韓國人	han guo ren
旗幟	qi zhi
開闢	kai pi
地質	di zhi
生產企業	sheng chan qi ye
轉賬	zhuan zhang
首屆	shou jie
口碑	kou bei
多功能	duo gong neng
多普達	duo pu da
文革	wen ge
省長	sheng zhang
檯式機	tai shi ji
期盼	qi pan
海盜	hai dao
法人	fa ren
活性	huo xing
財政部	cai zheng bu
探測	tan ce
啓發	qi fa
新區	xin qu
正文	zheng wen
涼快	liang kuai
直銷	zhi xiao
座談會	zuo tan hui
師範大學	shi fan da xue
戰役	zhan yi
酶	mei
大全	da quan
感悟	gan wu
社會保障	she hui bao zhang
雅思	ya si
做不到	zuo bu dao
字節	zi jie
研究員	yan jiu yuan
林業	lin ye
牡丹	mu dan
還款	hai kuan
邵	shao
掛機	gua ji
發佈會	fa bu hui
數百	shu bai
看病	kan bing
三亞	san ya
網關	wang guan
名氣	ming qi
白雲	bai yun
巴基斯坦	ba ji si tan
詮釋	quan shi
超頻	chao pin
一門	yi men
出問題	chu wen ti
湖南省	hu nan sheng
看不出	kan bu chu
西門子	xi men zi
說好	shuo hao
麗江	li jiang
修煉	xiu lian
搬遷	ban qian
校區	xiao qu
湖北省	hu bei sheng
中獎	zhong jiang
團長	tuan zhang
點燃	dian ran
單個	dan ge
業務員	ye wu yuan
現貨	xian huo
外企	wai qi
口袋	kou dai
穆	mu
章子怡	zhang zi yi
寬屏	kuan ping
可靠性	ke kao xing
序號	xu hao
國民經濟	guo min jing ji
耗	hao
協同	xie tong
戶型	hu xing
投產	tou chan
數組	shu zu
開來	kai lai
管理局	guan li ju
早飯	zao fan
繁體	fan ti
二者	er zhe
合影	he ying
基金會	ji jin hui
湊合	cou he
萎縮	wei suo
可不	ke bu
英超	ying chao
交付	jiao fu
研究中心	yan jiu zhong xin
入選	ru xuan
代謝	dai xie
聲卡	sheng ka
賬號	zhang hao
信息技術	xin xi ji shu
大唐	da tang
臺詞	tai ci
查閱	cha yue
蜂蜜	feng mi
想來	xiang lai
影院	ying yuan
表述	biao shu
院士	yuan shi
排行	pai xing
新城	xin cheng
交互	jiao hu
安徽省	an hui sheng
買進	mai jin
認購	ren gou
準則	zhun ze
喝茶	he cha
不光	bu guang
名額	ming e
執政	zhi zheng
日內	ri nei
法語	fa yu
空格	kong ge
品位	pin wei
富人	fu ren
獎項	jiang xiang
春季	chun ji
青海	qing hai
菊	ju
傍晚	bang wan
銷售額	xiao shou e
貴陽	gui yang
復旦	fu dan
提案	ti an
精度	jing du
省錢	sheng qian
貼圖	tie tu
偷拍	tou pai
直徑	zhi jing
中興	zhong xing
急着	ji zhe
毛孔	mao kong
逛逛	guang guang
劇組	ju zu
災害	zai hai
機電	ji dian
廠房	chang fang
碰上	peng shang
俞	yu
複印	fu yin
技術人員	ji shu ren yuan
拆除	chai chu
指針	zhi zhen
攝像機	she xiang ji
看作	kan zuo
詐騙	zha pian
看懂	kan dong
郝	hao
中外	zhong wai
郊區	jiao qu
侵害	qin hai
帕	pa
承包	cheng bao
火車票	huo che piao
客場	ke chang
慎重	shen zhong
兩個	liang ge
兩個字	liang ge zi
國資委	guo zi wei
工作量	gong zuo liang
拉薩	la sa
數額	shu e
流入	liu ru
航天	hang tian
車票	che piao
加之	jia zhi
巴薩	ba sa
源碼	yuan ma
第七	di qi
共計	gong ji
命題	ming ti
園林	yuan lin
容器	rong qi
承辦	cheng ban
王朝	wang chao
駕駛員	jia shi yuan
枚	mei
賽場	sai chang
報刊	bao kan
封裝	feng zhuang
傑出	jie chu
服務中心	fu wu zhong xin
市盈率	shi ying lv
地塊	di kuai
留學生	liu xue sheng
勞動合同	lao dong he tong
杆	gan
淨值	jing zhi
亂碼	luan ma
店面	dian mian
收益率	shou yi lv
昂貴	ang gui
間隔	jian ge
飛利浦	fei li pu
映像	ying xiang
豐田	feng tian
出價	chu jia
分錢	fen qian
誤差	wu cha
紹興	shao xing
吸菸	xi yan
督促	du cu
統籌	tong chou
省委	sheng wei
開店	kai dian
好不	hao bu
殷	yin
再現	zai xian
穩步	wen bu
全球化	quan qiu hua
幸虧	xing kui
所長	suo zhang
款項	kuan xiang
中級	zhong ji
主人公	zhu ren gong
合租	he zu
澡	zao
絕大部分	jue da bu fen
資費	zi fei
醞釀	yun niang
建材	jian cai
離線	li xian
只用	zhi yong
政協	zheng xie
車展	che zhan
生態環境	sheng tai huan jing
元件	yuan jian
看望	kan wang
交易日	jiao yi ri
泉州	quan zhou
火炬	huo ju
紡織	fang zhi
退貨	tui huo
城管	cheng guan
堅實	jian shi
週報	zhou bao
不着	bu zhe
古城	gu cheng
划算	hua suan
振動	zhen dong
操縱	cao zong
僞	wei
銀行卡	yin xing ka
看清	kan qing
缺失	que shi
選定	xuan ding
日元	ri yuan
計量	ji liang
飛揚	fei yang
交大	jiao da
嶄新	zhan xin
落戶	luo hu
蔣介石	jiang jie shi
高質量	gao zhi liang
津	jin
源代碼	yuan dai ma
中部	zhong bu
保證金	bao zheng jin
彩信	cai xin
調解	diao jie
務必	wu bi
新華	xin hua
可供	ke gong
祝願	zhu yuan
贖回	shu hui
跌幅	die fu
榮獲	rong huo
工業化	gong ye hua
本期	ben qi
格式化	ge shi hua
華東	hua dong
大號	da hao
經濟效益	jing ji xiao yi
帶回	dai hui
渲染	xuan ran
激素	ji su
彥	yan
校友	xiao you
科學技術	ke xue ji shu
菸	yan
堅信	jian xin
就來	jiu lai
權重	quan zhong
軍訓	jun xun
面料	mian liao
頂部	ding bu
實習生	shi xi sheng
抵押	di ya
撥號	bo hao
映射	ying she
防水	fang shui
教育局	jiao yu ju
一年多	yi nian duo
海域	hai yu
攢	zan
美工	mei gong
買東西	mai dong xi
遏制	e zhi
陝西省	shan xi sheng
高血壓	gao xue ya
常年	chang nian
後代	hou dai
一倍	yi bei
早知道	zao zhi dao
省份	sheng fen
找回	zhao hui
紅樓夢	hong lou meng
轄區	xia qu
勇士	yong shi
組裝	zu zhuang
交易所	jiao yi suo
陣地	zhen di
綜合性	zong he xing
雷達	lei da
東海	dong hai
相聲	xiang sheng
選秀	xuan xiu
不佳	bu jia
加油站	jia you zhan
宣稱	xuan cheng
香菸	xiang yan
檢察院	jian cha yuan
水質	shui zhi
包月	bao yue
工作者	gong zuo zhe
芳香	fang xiang
蒐集	sou ji
買唔起	mai wu qi
剎車	sha che
科比	ke bi
任職	ren zhi
花朵	hua duo
輪迴	lun hui
金融危機	jin rong wei ji
首位	shou wei
摩托	mo tuo
烏鴉	wu ya
科室	ke shi
總計	zong ji
門診	men zhen
公車	gong che
勤奮	qin fen
協	xie
少數民族	shao shu min zu
揭示	jie shi
適時	shi shi
髒	zang
葡萄酒	pu tao jiu
看成	kan cheng
芙蓉	fu rong
不可避免	bu ke bi mian
單據	dan ju
涵蓋	han gai
直觀	zhi guan
走訪	zou fang
奇瑞	qi rui
放進	fang jin
燕子	yan zi
身體健康	shen ti jian kang
鈔票	chao piao
本着	ben zhe
環球	huan qiu
焊接	han jie
不服	bu fu
專職	zhuan zhi
第一名	di yi ming
南通	nan tong
百分點	bai fen dian
艱辛	jian xin
王國	wang guo
表彰	biao zhang
了不起	le bu qi
本國	ben guo
种	zhong
音質	yin zhi
便捷	bian jie
編製	bian zhi
市內	shi nei
配送	pei song
門戶網站	men hu wang zhan
下達	xia da
做客	zuo ke
招商引資	zhao shang yin zi
再不	zai bu
噻	sai
魔獸世界	mo shou shi jie
黃瓜	huang gua
封建	feng jian
雁	yan
三峽	san xia
不加	bu jia
中標	zhong biao
羸	lei
勢必	shi bi
機組	ji zu
病變	bing bian
市場競爭	shi chang jing zheng
成都市	cheng dou shi
擁擠	yong ji
當心	dang xin
截止	jie zhi
裏頭	li tou
商用	shang yong
圓滿	yuan man
按規定	an gui ding
螃蟹	pang xie
貨款	huo kuan
選取	xuan qu
開辦	kai ban
高管	gao guan
現已	xian yi
遺址	yi zhi
評定	ping ding
增值稅	zeng zhi shui
拷	kao
此舉	ci ju
肥胖	fei pang
國債	guo zhai
專業化	zhuan ye hua
儘早	jin zao
洗臉	xi lian
洽談	qia tan
誤導	wu dao
路段	lu duan
馬克思	ma ke si
替補	ti bu
藥店	yao dian
信賴	xin lai
撮	cuo
新西蘭	xin xi lan
股東大會	gu dong da hui
上臺	shang tai
充電器	chong dian qi
漫遊	man you
納悶	na men
達不到	da bu dao
負載	fu zai
預警	yu jing
倒閉	dao bi
奧迪	ao di
付錢	fu qian
年薪	nian xin
進場	jin chang
均線	jun xian
頒佈	ban bu
運算	yun suan
借款	jie kuan
捆綁	kun bang
春晚	chun wan
觀測	guan ce
隨筆	sui bi
博覽會	bo lan hui
企業文化	qi ye wen hua
方便麪	fang bian mian
精子	jing zi
較長	jiao zhang
不予	bu yu
商貿	shang mao
神舟	shen zhou
膠囊	jiao nang
蓋章	gai zhang
中日	zhong ri
機體	ji ti
豐厚	feng hou
雙向	shuang xiang
大三	da san
山西省	shan xi sheng
攀昇	pan sheng
電網	dian wang
航線	hang xian
原件	yuan jian
家樂福	jia le fu
設在	she zai
誤區	wu qu
大四	da si
黑龍江省	hei long jiang sheng
合金	he jin
貪官	tan guan
編輯器	bian ji qi
吉祥	ji xiang
發改委	fa gai wei
承載	cheng zai
超值	chao zhi
開採	kai cai
博弈	bo yi
數字電視	shu zi dian shi
暱稱	ni cheng
獻給	xian gei
浮躁	fu zao
塗料	tu liao
溫馨提示	wen xin ti shi
繪製	hui zhi
長虹	zhang hong
回昇	hui sheng
跨國公司	kua guo gong si
轉正	zhuan zheng
全集	quan ji
器件	qi jian
室友	shi you
實質性	shi zhi xing
常務	chang wu
無不	wu bu
一般來說	yi ban lai shuo
光學	guang xue
幹掉	gan diao
懸掛	xuan gua
蒼蠅	cang ying
辰	chen
不含	bu han
代表性	dai biao xing
振興	zhen xing
聽衆	ting zhong
不由	bu you
室外	shi wai
痛快	tong kuai
三分之一	san fen zhi yi
噪聲	zao sheng
乞丐	qi gai
小巧	xiao qiao
水稻	shui dao
與衆不同	yu zhong bu tong
捷	jie
中國銀行	zhong guo yin xing
進門	jin men
市場部	shi chang bu
數字化	shu zi hua
概況	gai kuang
軸承	zhou cheng
日趨	ri qu
炎症	yan zheng
電容	dian rong
黨中央	dang zhong yang
章節	zhang jie
略有	lue you
莫斯科	mo si ke
軍官	jun guan
電廠	dian chang
下崗	xia gang
創下	chuang xia
南非	nan fei
科長	ke zhang
適度	shi du
來信	lai xin
遼寧省	liao ning sheng
中行	zhong xing
大臣	da chen
掛鉤	gua gou
貨運	huo yun
土耳其	tu er qi
滯後	zhi hou
飼養	si yang
中共中央	zhong gong zhong yang
唐山	tang shan
衆生	zhong sheng
視圖	shi tu
威海	wei hai
悄然	qiao ran
沃爾瑪	wo er ma
雜談	za tan
幀	zheng
杭州市	hang zhou shi
正品	zheng pin
退款	tui kuan
客車	ke che
民進黨	min jin dang
華南	hua nan
頻	pin
老天	lao tian
在校	zai xiao
美眉	mei mei
製備	zhi bei
拉拉	la la
行政部門	xing zheng bu men
初次	chu ci
廣電	guang dian
烏魯木齊	wu lu mu qi
創始人	chuang shi ren
雲南省	yun nan sheng
保溼	bao shi
縣委	xian wei
聽不懂	ting bu dong
傳給	chuan gei
創造性	chuang zao xing
恰好	qia hao
武警	wu jing
第八	di ba
表單	biao dan
主題曲	zhu ti qu
聶	nie
速率	su lv
本科生	ben ke sheng
民營	min ying
率領	lv ling
職稱	zhi cheng
被告人	bei gao ren
橫向	heng xiang
流域	liu yu
竣工	jun gong
講課	jiang ke
分量	fen liang
增長率	zeng zhang lv
壹	yi
妃	fei
寶鋼	bao gang
問卷	wen juan
非得	fei de
工商銀行	gong shang yin xing
晉級	jin ji
菸草	yan cao
證券公司	zheng quan gong si
反倒	fan dao
座椅	zuo yi
追加	zhui jia
打法	da fa
浮動	fu dong
師範	shi fan
意境	yi jing
諸葛亮	zhu ge liang
研討	yan tao
前沿	qian yan
南京市	nan jing shi
安利	an li
亮度	liang du
傾聽	qing ting
耕地	geng di
現成	xian cheng
門店	men dian
熱水器	re shui qi
詢價	xun jia
贏利	ying li
後綴	hou zhui
歷經	li jing
縣級	xian ji
頑強	wan qiang
單機	dan ji
平原	ping yuan
油脂	you zhi
稅率	shui lv
鋼材	gang cai
單反	dan fan
封殺	feng sha
沙龍	sha long
衛生部	wei sheng bu
信託	xin tuo
停產	ting chan
只剩	zhi sheng
帥氣	shuai qi
矩陣	ju zhen
置業	zhi ye
賬	zhang
趨於	qu yu
足協	zu xie
難點	nan dian
中國電信	zhong guo dian xin
出遊	chu you
弘	hong
投稿	tou gao
酸奶	suan nai
判定	pan ding
成天	cheng tian
新村	xin cun
信訪	xin fang
多方面	duo fang mian
彩鈴	cai ling
皇冠	huang guan
施行	shi xing
食慾	shi yu
僅供參考	jin gong can kao
渝	yu
辦好	ban hao
預覽	yu lan
麪條	mian tiao
停機	ting ji
醫學院	yi xue yuan
非常感謝	fei chang gan xie
審理	shen li
中石化	zhong shi hua
估算	gu suan
傳銷	chuan xiao
之初	zhi chu
江西省	jiang xi sheng
注意事項	zhu yi shi xiang
陣營	zhen ying
上海人	shang hai ren
薩達姆	sa da mu
交納	jiao na
經貿	jing mao
吉林省	ji lin sheng
純淨	chun jing
逾	yu
克隆	ke long
力求	li qiu
增進	zeng jin
票據	piao ju
駕照	jia zhao
中科院	zhong ke yuan
僅供	jin gong
原形	yuan xing
原型	yuan xing
大二	da er
從業人員	cong ye ren yuan
米飯	mi fan
退役	tui yi
務實	wu shi
實實在在	shi shi zai zai
戶籍	hu ji
浦	pu
貴公司	gui gong si
錄用	lu yong
天亮	tian liang
氧	yang
測評	ce ping
特大	te da
投資人	tou zi ren
通訊員	tong xun yuan
沼澤	zhao ze
肯德基	ken de ji
播客	bo ke
武漢市	wu han shi
治癒	zhi yu
新穎	xin ying
綜述	zong shu
前列	qian lie
雕塑	diao su
僧	seng
刷卡	shua ka
辦案	ban an
裱	biao
概述	gai shu
醫保	yi bao
寬鬆	kuan song
易於	yi yu
退回	tui hui
高明	gao ming
懸念	xuan nian
油田	you tian
嘉興	jia xing
零部件	ling bu jian
岩石	yan shi
揍	zou
車內	che nei
遞交	di jiao
鉤	gou
勞務	lao wu
攝像	she xiang
短缺	duan que
達標	da biao
銜接	xian jie
拓	tuo
掌控	zhang kong
東芝	dong zhi
板櫈	ban deng
物業管理	wu ye guan li
球星	qiu xing
農機	nong ji
一篇文章	yi pian wen zhang
小車	xiao che
稀飯	xi fan
馬英九	ma ying jiu
花卉	hua hui
高性能	gao xing neng
反響	fan xiang
批覆	pi fu
噹噹	dang dang
木材	mu cai
總局	zong ju
逮捕	dai bu
鋅	xin
體育館	ti yu guan
停下來	ting xia lai
電阻	dian zu
飯菜	fan cai
實況	shi kuang
減小	jian xiao
置頂	zhi ding
平方公里	ping fang gong li
僞裝	wei zhuang
分管	fen guan
開除	kai chu
閒置	xian zhi
砂	sha
福特	fu te
話筒	hua tong
交錢	jiao qian
參見	can jian
夜色	ye se
復出	fu chu
株	zhu
有效期	you xiao qi
東盟	dong meng
自習	zi xi
供貨	gong huo
對接	dui jie
箇	ge
變壓器	bian ya qi
介質	jie zhi
偏差	pian cha
汶川	wen chuan
奧斯卡	ao si ka
崑山	kun shan
提供商	ti gong shang
盤點	pan dian
競技	jing ji
總能	zong neng
點球	dian qiu
可行性	ke xing xing
法寶	fa bao
堆積	dui ji
搭檔	da dang
暢銷	chang xiao
期末	qi mo
沉浸	chen jin
燃氣	ran qi
燃油	ran you
劉備	liu bei
簡易	jian yi
主線	zhu xian
信息系統	xin xi xi tong
吐血	tu xue
大力發展	da li fa zhan
跨國	kua guo
遙	yao
首家	shou jia
拿走	na zou
畸形	ji xing
參股	can gu
會所	hui suo
油耗	you hao
洛杉磯	luo shan ji
漢族	han zu
每每	mei mei
明朗	ming lang
櫥櫃	chu gui
發酵	fa jiao
購置	gou zhi
辦公樓	ban gong lou
裝上	zhuang shang
滄桑	cang sang
申訴	shen su
至關重要	zhi guan zhong yao
返還	fan hai
金華	jin hua
霖	lin
寨	zhai
針對性	zhen dui xing
刊物	kan wu
情色	qing se
模擬器	mo ni qi
縣長	xian zhang
可選	ke xuan
據此	ju ci
航母	hang mu
顯示屏	xian shi ping
冰雪	bing xue
小日本	xiao ri ben
嵌入	qian ru
年報	nian bao
華北	hua bei
裝機	zhuang ji
限定	xian ding
支隊	zhi dui
牴	di
主帥	zhu shuai
公證	gong zheng
半導體	ban dao ti
大軍	da jun
抗戰	kang zhan
飄飄	piao piao
供求	gong qiu
受衆	shou zhong
拓寬	tuo kuan
新陳代謝	xin chen dai xie
陸軍	lu jun
生產能力	sheng chan neng li
翡翠	fei cui
起草	qi cao
俄國	e guo
尼康	ni kang
溜達	liu da
試用期	shi yong qi
越發	yue fa
柴油	chai you
處分	chu fen
外科	wai ke
電動車	dian dong che
倒下	dao xia
報關	bao guan
最大化	zui da hua
一瞬間	yi shun jian
惠州	hui zhou
轉會	zhuan hui
阿森納	a sen na
國內市場	guo nei shi chang
成像	cheng xiang
證券市場	zheng quan shi chang
白事	bai shi
陵	ling
芭	ba
行長	xing zhang
西紅柿	xi hong shi
身價	shen jia
轉速	zhuan su
租用	zu yong
超標	chao biao
上衣	shang yi
博友	bo you
小牛	xiao niu
梳理	shu li
阿富汗	a fu han
仲裁	zhong cai
公安部	gong an bu
基站	ji zhan
鍋爐	guo lu
北海	bei hai
懷舊	huai jiu
鑑別	jian bie
供水	gong shui
女足	nv zu
所有權	suo you quan
碳	tan
親屬	qin shu
峯會	feng hui
投影機	tou ying ji
油漆	you qi
龍頭企業	long tou qi ye
三項	san xiang
字樣	zi yang
患有	huan you
星光	xing guang
解碼	jie ma
趙本山	zhao ben shan
斷裂	duan lie
線性	xian xing
聽不到	ting bu dao
加點	jia dian
朝陽區	chao yang qu
潮溼	chao shi
秋風	qiu feng
達人	da ren
光電	guang dian
廷	ting
思科	si ke
首付	shou fu
半月	ban yue
奶牛	nai niu
楠	nan
出讓	chu rang
前衛	qian wei
往前	wang qian
艦隊	jian dui
乒乓球	ping pang qiu
溶液	rong ye
工作日	gong zuo ri
着呢	zhe ne
顛	dian
填充	tian chong
支架	zhi jia
裴	pei
責令	ze ling
趕來	gan lai
逐年	zhu nian
不符	bu fu
單挑	dan tiao
小米	xiao mi
小編	xiao bian
成型	cheng xing
便祕	bian mi
整機	zheng ji
脫落	tuo luo
奔騰	ben teng
寫給	xie gei
紅外	hong wai
妊娠	ren shen
意識形態	yi shi xing tai
良性	liang xing
人民網	ren min wang
往年	wang nian
瘦身	shou shen
驅動程式	qu dong cheng shi
驅動程序	qu dong cheng xu
光澤	guang ze
彙集	hui ji
北京時間	bei jing shi jian
抓獲	zhua huo
立項	li xiang
弘揚	hong yang
兄弟姐妹	xiong di jie mei
情結	qing jie
穗	sui
貼吧	tie ba
較量	jiao liang
中專	zhong zhuan
分級	fen ji
在職	zai zhi
愉悅	yu yue
樓房	lou fang
着眼	zhe yan
間諜	jian die
牽頭	qian tou
遊玩	you wan
乙肝	yi gan
些許	xie xu
原價	yuan jia
着實	zhe shi
審視	shen shi
科普	ke pu
訂貨	ding huo
一如既往	yi ru ji wang
嫦娥	chang e
快捷鍵	kuai jie jian
攪拌	jiao ban
毒素	du su
福田	fu tian
紹	shao
色調	se diao
位居	wei ju
大洋	da yang
溼潤	shi run
發言權	fa yan quan
來訪	lai fang
列舉	lie ju
衛士	wei shi
集裝箱	ji zhuang xiang
初衷	chu zhong
工作組	gong zuo zu
產值	chan zhi
規避	gui bi
一併	yi bing
低溫	di wen
入圍	ru wei
授課	shou ke
泄漏	xie lou
長征	zhang zheng
開銷	kai xiao
婚後	hun hou
欣喜	xin xi
複試	fu shi
黑名單	hei ming dan
拼搏	pin bo
乘車	cheng che
判處	pan chu
普京	pu jing
積極參與	ji ji can yu
附帶	fu dai
前一天	qian yi tian
治病	zhi bing
造假	zao jia
領導者	ling dao zhe
女郎	nv lang
庚	geng
演習	yan xi
蝸牛	wo niu
反恐	fan kong
靜脈	jing mai
麪粉	mian fen
專櫃	zhuan gui
看不清	kan bu qing
一等獎	yi deng jiang
扶貧	fu pin
泄露	xie lu
浸泡	jin pao
涉	she
小品	xiao pin
開闊	kai kuo
競技場	jing ji chang
索賠	suo pei
跟上	gen shang
償還	chang hai
字數	zi shu
歷來	li lai
許久	xu jiu
延安	yan an
忒	te
排版	pai ban
高雅	gao ya
麥克	mai ke
又稱	you cheng
已然	yi ran
七夕	qi xi
上都	shang dou
清算	qing suan
大理	da li
想象力	xiang xiang li
禪	chan
股本	gu ben
興業	xing ye
違約	wei yue
中醫藥	zhong yi yao
代理人	dai li ren
全國人民	quan guo ren min
多樣化	duo yang hua
樹脂	shu zhi
溼地	shi di
瑤	yao
下單	xia dan
公用	gong yong
深層	shen ceng
綿陽	mian yang
德語	de yu
產地	chan di
欺詐	qi zha
流產	liu chan
減排	jian pai
義烏	yi wu
傳染病	chuan ran bing
劇場	ju chang
手柄	shou bing
提速	ti su
受災	shou zai
勤勞	qin lao
牽手	qian shou
經銷	jing xiao
訂票	ding piao
國際貿易	guo ji mao yi
團伙	tuan huo
收視率	shou shi lv
評級	ping ji
飛行員	fei xing yuan
低廉	di lian
同濟	tong ji
寒假	han jia
微生物	wei sheng wu
研究人員	yan jiu ren yuan
範	fan
絲綢	si chou
事務所	shi wu suo
國貿	guo mao
人妖	ren yao
婷婷	ting ting
交待	jiao dai
起始	qi shi
傳球	chuan qiu
圖文	tu wen
坦然	tan ran
所得稅	suo de shui
直接影響	zhi jie ying xiang
固定資產	gu ding zi chan
濱	bin
排毒	pai du
擠壓	ji ya
精油	jing you
轟動	hong dong
夕	xi
暴漲	bao zhang
潛艇	qian ting
苯	ben
階段性	jie duan xing
上火	shang huo
有效性	you xiao xing
總線	zong xian
變遷	bian qian
工業區	gong ye qu
帝王	di wang
總價	zong jia
自來水	zi lai shui
試聽	shi ting
請看	qing kan
輸給	shu gei
門將	men jiang
二手車	er shou che
恨不得	hen bu de
時髦	shi mao
縮寫	suo xie
遙控器	yao kong qi
先天	xian tian
塗抹	tu mo
底盤	di pan
極致	ji zhi
流淌	liu tang
進駐	jin zhu
六級	liu ji
派遣	pai qian
穴	xue
供需	gong xu
午後	wu hou
復蘇	fu su
相伴	xiang ban
劑量	ji liang
化肥	hua fei
愜意	qie yi
河水	he shui
羊肉	yang rou
肝臟	gan zang
